region,h,config,n,rmse,rmse_25plus
완도,5,기온+풍속+강수|스냅샷,231,1.0135843029939933,1.1229987989840748
완도,5,기온+풍속+강수|패턴,231,1.0662001637268954,1.201611659261293
완도,6,지속성(오늘값 유지),231,1.3280686103384247,1.4411856677861667
완도,6,수온만|스냅샷,231,1.0967074731024655,1.2023617331424674
완도,6,수온만|패턴,231,1.0867700646216294,1.1939748261506329
완도,6,기온|스냅샷,231,1.1160137897315825,1.2552095188609873
완도,6,기온|패턴,231,1.1514553089253292,1.3300080538157995
완도,6,기온+풍속|스냅샷,231,1.1188667426442234,1.2621951229683241
완도,6,기온+풍속|패턴,231,1.142934688667501,1.2825130309541972
완도,6,기온+풍속+강수|스냅샷,231,1.1204980201833858,1.265242926933439
완도,6,기온+풍속+강수|패턴,231,1.1831857839086855,1.345065210249389
완도,7,지속성(오늘값 유지),231,1.4440503402864409,1.5849341087352051
완도,7,수온만|스냅샷,231,1.1574271770892108,1.2904108708155022
완도,7,수온만|패턴,231,1.1494301603296495,1.2826190679046938
완도,7,기온|스냅샷,231,1.165497533669112,1.3225793749568473
완도,7,기온|패턴,231,1.2142497741626361,1.4159921219385563
완도,7,기온+풍속|스냅샷,231,1.163260441383402,1.3020305879104317
완도,7,기온+풍속|패턴,231,1.2095188311175002,1.357759100375749
완도,7,기온+풍속+강수|스냅샷,231,1.1680341532367449,1.310893886084773
완도,7,기온+풍속+강수|패턴,231,1.231587148966739,1.3941401668405307
여수,1,지속성(오늘값 유지),225,0.38884444190447154,0.42552939829958186
여수,1,수온만|스냅샷,225,0.345293136511872,0.3563165108448155
여수,1,수온만|패턴,225,0.3491669940605104,0.35492548000642216
여수,1,기온|스냅샷,225,0.3405672992498975,0.32436561973900396
여수,1,기온|패턴,225,0.34405989844753765,0.33368431254646125
여수,1,기온+풍속|스냅샷,225,0.3414659525784907,0.32482857134935417
여수,1,기온+풍속|패턴,225,0.349963205937859,0.3432091025209904
여수,1,기온+풍속+강수|스냅샷,225,0.34079855953767263,0.32318050282804817
여수,1,기온+풍속+강수|패턴,225,0.3527485844451678,0.3428293631070633
여수,2,지속성(오늘값 유지),223,0.667469621081937,0.7707697590755466
여수,2,수온만|스냅샷,223,0.6154091061607775,0.6838837233908373
여수,2,수온만|패턴,223,0.6180222468888376,0.6809954552705083
여수,2,기온|스냅샷,223,0.5983376482303281,0.61997571041484
여수,2,기온|패턴,223,0.6027349581775949,0.6486847181307777
여수,2,기온+풍속|스냅샷,223,0.5965104498405187,0.6196570858795882
여수,2,기온+풍속|패턴,223,0.6195899354016473,0.6803071305690139
여수,2,기온+풍속+강수|스냅샷,223,0.5972831449929686,0.6187943916598866
여수,2,기온+풍속+강수|패턴,223,0.625722966186808,0.6748602621371125
여수,3,지속성(오늘값 유지),222,0.8936210374417999,1.0542719581313578
여수,3,수온만|스냅샷,222,0.835526027191227,0.9727726749020985
여수,3,수온만|패턴,222,0.83706231173538,0.9644416813748682
여수,3,기온|스냅샷,222,0.8086439629089243,0.8910389844566892
여수,3,기온|패턴,222,0.8198755317962096,0.9460589659971763
여수,3,기온+풍속|스냅샷,222,0.8060491637838431,0.8897098780468236
여수,3,기온+풍속|패턴,222,0.8603260093197986,1.015232501605119
